Specie (latin name),Functional group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Boops boops,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Diplodus vulgaris,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Parapenaeus longirostris,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Sphyraena barracuda,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Sphyrna mokarran,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Balistes capriscus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Zeus faber,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Trichiurus lepturus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Tetrapturus pfluegeri,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Isurus paucus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Macroramphosus scolopax,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Nephrops norvegicus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Scyliorhinus stellaris,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Lampris guttatus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Orcynopsis unicolor,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Lamna nasus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Lithognathus mormyrus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Carcharhinus plumbeus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Umbrina cirrosa,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Isurus oxyrinchus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Callista chione,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Sphyrna zygaena,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
Dicentrarchus punctatus,Large sharks,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.012-0.02,0.012-0.02,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.0065-0.012,0.012-0.02,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032,0.02-0.032
